path,name,federalregister_agency_url,federalregister_child_ids,federalregister_child_ids_0,federalregister_child_ids_1,federalregister_child_ids_2,federalregister_child_ids_3,federalregister_child_ids_4,federalregister_child_ids_5,federalregister_child_ids_6,federalregister_child_ids_7,federalregister_child_ids_8,federalregister_child_ids_9,federalregister_child_ids_10,federalregister_child_ids_11,federalregister_child_ids_12,federalregister_child_ids_13,federalregister_child_ids_14,federalregister_child_ids_15,federalregister_child_ids_16,federalregister_child_ids_17,federalregister_child_ids_18,federalregister_child_ids_19,federalregister_child_ids_20,federalregister_child_ids_21,federalregister_child_ids_22,federalregister_child_ids_23,federalregister_child_ids_24,federalregister_child_ids_25,federalregister_child_ids_26,federalregister_child_ids_27,federalregister_child_ids_28,federalregister_child_ids_29,federalregister_child_ids_30,federalregister_child_ids_31,federalregister_child_ids_32,federalregister_child_slugs,federalregister_child_slugs_0,federalregister_child_slugs_1,federalregister_child_slugs_2,federalregister_child_slugs_3,federalregister_child_slugs_4,federalregister_child_slugs_5,federalregister_child_slugs_6,federalregister_child_slugs_7,federalregister_child_slugs_8,federalregister_child_slugs_9,federalregister_child_slugs_10,federalregister_child_slugs_11,federalregister_child_slugs_12,federalregister_child_slugs_13,federalregister_child_slugs_14,federalregister_child_slugs_15,federalregister_child_slugs_16,federalregister_child_slugs_17,federalregister_child_slugs_18,federalregister_child_slugs_19,federalregister_child_slugs_20,federalregister_child_slugs_21,federalregister_child_slugs_22,federalregister_child_slugs_23,federalregister_child_slugs_24,federalregister_child_slugs_25,federalregister_child_slugs_26,federalregister_child_slugs_27,federalregister_child_slugs_28,federalregister_child_slugs_29,federalregister_child_slugs_30,federalregister_child_slugs_31,federalregister_child_slugs_32,federalregister_description,federalregister_id,federalregister_json_url,federalregister_logo_medium_url,federalregister_logo_small_url,federalregister_logo_thumb_url,federalregister_name,federalregister_recent_articles_url,federalregister_short_name,federalregister_slug,federalregister_url
/US FEDERAL GOVERNMENT/[federalregister] Amtrak Reform Council (21),[federalregister] Amtrak Reform Council (21),http://govinfo.library.unt.edu/arc/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Amtrak Reform Council was an independent bipartisan Federal commission established under the Amtrak Reform and Accountability Act of 1997 (P.L. 105-134). The Council consisted of eleven members whose statutory mandate was to make recommendations to Amtrak in order to help it reach operational self-sufficiency, and to report annually to Congress on Amtrak's performance.

On February 7, 2002, the Council released to Congress its Action Plan for the Restructuring and Rationalization of the National Intercity Rail Passenger System. The Council, in a vote of nine Council members in favor, one against, and one abstaining (Secretary of Transportation), adopted the Action Plan.",21,https://www.federalregister.gov/api/v1/agencies/21,,,,Amtrak Reform Council,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=21&order=newest,ARC,amtrak-reform-council,https://www.federalregister.gov/agencies/amtrak-reform-council
/US FEDERAL GOVERNMENT/[federalregister] Antitrust Modernization Commission (24),[federalregister] Antitrust Modernization Commission (24),,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Antitrust Modernization Commission was created pursuant to the Antitrust Modernization Commission Act of 2002 (P.L. 107-273). 
The Commission was charged by statute to examine whether the need exists to modernize the antitrust laws and to identify and study related issues; to solicit views of all parties concerned with the operation of the antitrust laws; to evaluate the advisability of proposals and current arrangements with respect to any issues so identified; and to prepare and submit to Congress and the President a report.
The Antitrust Modernization Commission submitted its Report and Recommendations to Congress and the President on April 2, 2007. The Antitrust Modernization Commission terminated on May 31, 2007, pursuant to the Antitrust Modernization Commission Act, as amended",24,https://www.federalregister.gov/api/v1/agencies/24,,,,Antitrust Modernization Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=24&order=newest,AMC,antitrust-modernization-commission,https://www.federalregister.gov/agencies/antitrust-modernization-commission
/US FEDERAL GOVERNMENT/[federalregister] Appalachian Regional Commission (25),[federalregister] Appalachian Regional Commission (25),http://www.arc.gov/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Appalachian Regional Commission (ARC) is a regional economic development agency that represents a partnership of federal, state, and local government. Established by an act of Congress in 1965, ARC is composed of the governors of the 13 Appalachian states and a federal co-chair, who is appointed by the president. Local participation is provided through multi-county local development districts.

ARC funds projects that address the four goals identified in the Commission's strategic plan:

(1) Increase job opportunities and per capita income in Appalachia to reach parity with the nation. 
(2) Strengthen the capacity of the people of Appalachia to compete in the global economy. 
(3) Develop and improve Appalachia's infrastructure to make the Region economically competitive. 
(4) Build the Appalachian Development Highway System to reduce Appalachia's isolation. 

Each year ARC provides funding for several hundred projects in the Appalachian Region, in areas such as business development, education and job training, telecommunications, infrastructure, community development, housing, and transportation. These projects create thousands of new jobs; improve local water and sewer systems; increase school readiness; expand access to health care; assist local communities with strategic planning; and provide technical and managerial assistance to emerging businesses.",25,https://www.federalregister.gov/api/v1/agencies/25,https://agency-logos.federalregister.gov/25/medium.jpg?1321308918,https://agency-logos.federalregister.gov/25/small.jpg?1321308918,https://agency-logos.federalregister.gov/25/thumb.jpg?1321308918,Appalachian Regional Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=25&order=newest,ARC,appalachian-regional-commission,https://www.federalregister.gov/agencies/appalachian-regional-commission
/US FEDERAL GOVERNMENT/[federalregister] Appalachian States Low-Level Radioactive Waste Commission (26),[federalregister] Appalachian States Low-Level Radioactive Waste Commission (26),,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In 1986, Maryland ratified the Appalachian States Low-Level Radioactive Waste Compact (Chapter 33, Acts of 1986). Delaware, Pennsylvania, and West Virginia also have ratified the Compact. The Compact established the Appalachian States Low-Level Radioactive Waste Commission to assure interstate cooperation for the proper management and disposal of low-level radioactive wastes. 

The Commission identifies a host state (based on the volume and curie content of radioactive waste generated) to receive and dispose of radioactive waste from party states. Pennsylvania is currently the host state. Costs and benefits are distributed equitably among party states. Wastes generated outside the region may be banned by the Commission. 

To reduce the volume of low-level radioactive waste, the Commission conducts research and recommends regulations. The Commission also prepares contingency plans in the event the regional facility is closed and enters into temporary agreements for emergency disposal.",26,https://www.federalregister.gov/api/v1/agencies/26,,,,Appalachian States Low-Level Radioactive Waste Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=26&order=newest,APPAL,appalachian-states-low-level-radioactive-waste-commission,https://www.federalregister.gov/agencies/appalachian-states-low-level-radioactive-waste-commission
/US FEDERAL GOVERNMENT/[federalregister] Architect of the Capitol (27),[federalregister] Architect of the Capitol (27),http://www.aoc.gov/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Architect of the Capitol is responsible for the care and maintenance of the U.S. Capitol and the buildings and grounds of the Capitol complex. The agency implements construction, renovation, conservation, and landscape improvement projects as authorized by the Congress.

The Architect of the Capitol is charged with operating and maintaining the buildings of the Capitol complex committed to his care by Congress. Permanent authority for the care and maintenance of the Capitol was established by the act of August 15, 1876 (40 U.S.C. 162, 163). The Architect's duties include the mechanical and structural maintenance of the Capitol, the conservation and care of works of art in the building under the Architect's jurisdiction, the upkeep and improvement of the Capitol grounds, and the arrangement of inaugural and other ceremonies held in the building or on the grounds.

In addition to the Capitol, the Architect is responsible for the upkeep of all of the congressional office buildings, the Library of Congress buildings, the U.S. Supreme Court building, the Thurgood Marshall Federal Judiciary Building, the Capitol Power Plant, the Capitol Police headquarters, and the Robert A. Taft Memorial. The Architect performs his duties in connection with the Senate side of the Capitol and the Senate office buildings subject to the approval of the Senate Committee on Rules and Administration. In matters of general policy in connection with the House office buildings, his activities are subject to the approval and direction of the House Office Building Commission. The Architect is under the direction of the Speaker in matters concerning the House side of the Capitol. He is subject to the oversight of the Committee on House Administration with respect to many administrative matters affecting operations on the House side of the Capitol complex. In addition, the Architect of the Capitol serves as the Acting Director of the U.S. Botanic Garden under the Joint Committee on the Library.",27,https://www.federalregister.gov/api/v1/agencies/27,https://agency-logos.federalregister.gov/27/medium.jpg?1321309136,https://agency-logos.federalregister.gov/27/small.jpg?1321309136,https://agency-logos.federalregister.gov/27/thumb.jpg?1321309136,Architect of the Capitol,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=27&order=newest,AOC,architect-of-the-capitol,https://www.federalregister.gov/agencies/architect-of-the-capitol
/US FEDERAL GOVERNMENT/[federalregister] Architectural and Transportation Barriers Compliance Board (28),[federalregister] Architectural and Transportation Barriers Compliance Board (28),http://www.access-board.gov/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Access Board is an independent Federal agency devoted to accessibility for people with disabilities.  Created in 1973 to ensure access to federally funded facilities, the Board is now a leading source of information on accessible design.  The Board develops and maintains design criteria for the built environment, transit vehicles, telecommunications equipment, and for electronic and information technology.  It also provides technical assistance and training on these requirements and on accessible design and continues to enforce accessibility standards that cover federally funded facilities.

The Board is structured to function as a coordinating body among Federal agencies and to directly represent the public, particularly people with disabilities.  Half of its members are representatives from most of the Federal departments.  The other half is comprised of members of the public appointed by the President, a majority of whom must have a disability. 
",28,https://www.federalregister.gov/api/v1/agencies/28,https://agency-logos.federalregister.gov/28/medium.gif?1319744135,https://agency-logos.federalregister.gov/28/small.gif?1319744135,https://agency-logos.federalregister.gov/28/thumb.gif?1319744135,Architectural and Transportation Barriers Compliance Board,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=28&order=newest,ATBCB,architectural-and-transportation-barriers-compliance-board,https://www.federalregister.gov/agencies/architectural-and-transportation-barriers-compliance-board
/US FEDERAL GOVERNMENT/[federalregister] Arctic Research Commission (29),[federalregister] Arctic Research Commission (29),http://www.arctic.gov/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The United States Arctic Research Commission was established by the Arctic Research and Policy Act of 1984 (as amended, Public Law 101-609). The Commission's principal duties are (1) to establish the national policy, priorities, and goals necessary to construct a federal program plan for basic and applied scientific research with respect to the Arctic, including natural resources and materials, physical, biological and health sciences, and social and behavioral sciences; (2) to promote Arctic research, to recommend Arctic research policy, and to communicate our research and policy recommendations to the President and the Congress; (3) to work with the National Science Foundation as the lead agency responsible for implementing the Arctic research policy and to support cooperation and collaboration throughout the Federal Government; (4) to give guidance to the Interagency Arctic Research Policy Committee (IARPC) to develop national Arctic research projects and a five-year plan to implement those projects; and (5) to interact with Arctic residents, international Arctic research programs and organizations and local institutions including regional governments in order to obtain the broadest possible view of Arctic research needs.",29,https://www.federalregister.gov/api/v1/agencies/29,https://agency-logos.federalregister.gov/29/medium.gif?1321309727,https://agency-logos.federalregister.gov/29/small.gif?1321309727,https://agency-logos.federalregister.gov/29/thumb.gif?1321309727,Arctic Research Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=29&order=newest,ARCTIC,arctic-research-commission,https://www.federalregister.gov/agencies/arctic-research-commission
/US FEDERAL GOVERNMENT/[federalregister] Armed Forces Retirement Home (30),[federalregister] Armed Forces Retirement Home (30),https://www.afrh.gov/afrh/,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Armed Forces Retirement Home is the nation's oldest retirement community for enlisted military veterans. Established by Congress in 1851, a permanent trust fund was established and was fed by monthly, by active duty payroll deductions of 25 cents, when the average pay of a soldier was $7 a month. Fines and forfeitures from the armed forces and the monthly withholding have provided the principal support for the Home throughout its history. 

In 1991, Congress incorporated the U.S. Naval Home in Gulfport, MS, and U.S. Soldiers' and Airmen's Home into an independent establishment in the Executive Branch of the Federal government known as the Armed Forces Retirement Home (AFRH). Each facility was maintained as a separate entity of the Retirement Home for administrative purposes. 

In 2001, Congress renamed the U.S. Naval Home and the U.S. Soldiers' and Airmen's Home the Armed Forces Retirement Home - Gulfport and the Armed Forces Retirement Home - Washington, respectively. ",30,https://www.federalregister.gov/api/v1/agencies/30,https://agency-logos.federalregister.gov/30/medium.png?1321309497,https://agency-logos.federalregister.gov/30/small.png?1321309497,https://agency-logos.federalregister.gov/30/thumb.png?1321309497,Armed Forces Retirement Home,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=30&order=newest,AFRH,armed-forces-retirement-home,https://www.federalregister.gov/agencies/armed-forces-retirement-home
/US FEDERAL GOVERNMENT/[federalregister] Arms Control and Disarmament Agency (31),[federalregister] Arms Control and Disarmament Agency (31),,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The mission of the United States Arms Control and Disarmament Agency is to strengthen the national security of the United States by formulating, advocating, negotiating, implementing and verifying effective arms control, nonproliferation, and disarmament policies, strategies, and agreements. In so doing, ACDA ensures that arms control is fully integrated into the development and conduct of United States national security policy.",31,https://www.federalregister.gov/api/v1/agencies/31,,,,Arms Control and Disarmament Agency,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=31&order=newest,ACDA,arms-control-and-disarmament-agency,https://www.federalregister.gov/agencies/arms-control-and-disarmament-agency
/US FEDERAL GOVERNMENT/[federalregister] Assassination Records Review Board (33),[federalregister] Assassination Records Review Board (33),,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Assassination Records Review Board was an independent federal agency created to oversee the identification and release of records related to the assassination of President John F. Kennedy. 
The Review Board was established by the President John F. Kennedy Assassination Records Collection act of 1992 (PL 102-526), and was signed into law by George Bush. The five members of the Board were appointed by President Clinton, confirmed by the United States Senate, and sworn in on April 11, 1994. 
Having until October 1, 1996 to fulfill its mandate, plus an additional year at the Board's discretion to complete its responsibilities, the Board was terminated in September of 1998 following the issuance of its Final Report. [http://mcadams.posc.mu.edu/arrb/]",33,https://www.federalregister.gov/api/v1/agencies/33,https://agency-logos.federalregister.gov/33/medium.gif?1279161473,https://agency-logos.federalregister.gov/33/small.gif?1279161473,https://agency-logos.federalregister.gov/33/thumb.gif?1279161473,Assassination Records Review Board,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=33&order=newest,,assassination-records-review-board,https://www.federalregister.gov/agencies/assassination-records-review-board
